Age;Gender;Tenure;Service_Internet;Service_Phone;Service_TV;Contract;PaymentMethod;MonthlyCharges;TotalCharges;StreamingMovies;StreamingMusic;OnlineSecurity;TechSupport;Churn;TotalServices;CLV;AvgMonthlyChargeOverTenure;RecentPaymentDrop
25.0;0;59;1;1;1;0;1;43.25;2549.57;0;0;1;0;0;4;2551.75;42.49283333333334;1.017818690994952
52.0;0;31;1;0;1;2;0;57.37;1786.92;1;1;0;0;0;2;1778.47;55.84125;1.0273767152418687
52.0;0;4;1;0;1;0;1;28.93;102.74;1;1;0;1;0;3;115.72;20.548;1.4079229122055676
50.0;0;37;1;1;0;2;0;64.56;2371.26;0;0;0;0;0;2;2388.7200000000003;62.40157894736843;1.0345892057387212
22.0;0;17;0;1;0;0;1;100.42;1706.84;0;0;0;0;0;1;1707.14;94.82444444444444;1.059009631834267
59.0;0;39;1;0;1;1;2;29.87;1185.47;0;0;1;0;0;3;1164.93;29.63675;1.007870296169452
56.0;1;48;1;1;1;0;1;47.56;2294.96;0;0;0;0;0;3;2282.88;46.83591836734694;1.0154599644438247
58.0;1;46;1;1;0;0;2;57.31;2628.18;1;0;0;0;0;2;2636.26;55.91872340425532;1.024880335441256
45.0;0;48;1;1;1;2;1;30.39;1463.88;1;0;1;1;0;5;1458.72;29.87510204081633;1.017235019263874
24.0;0;39;0;1;1;0;2;96.23;3746.61;0;0;1;0;0;3;3752.9700000000003;93.66525;1.027382086739746
26.0;1;4;0;0;1;2;0;98.69;399.02;1;0;1;0;1;2;394.76;79.804;1.2366548042704626
25.0;1;30;1;1;1;1;0;103.59;3112.74;1;0;1;1;0;5;3107.7000000000003;100.41096774193548;1.0316602093332563
29.0;1;30;1;1;1;0;1;78.39;2360.96;0;1;0;0;0;3;2351.7;76.16;1.029280462184874
51.0;1;22;1;1;0;2;0;70.72;1540.18;1;0;1;1;0;4;1555.84;66.96434782608696;1.0560843537768312
44.0;0;66;1;0;0;0;2;46.26;3040.5;0;0;0;0;0;1;3053.16;45.38059701492537;1.0193783917118895
65.0;1;12;0;0;1;2;3;85.52;1025.48;0;0;0;0;0;1;1026.24;78.88307692307693;1.0841362093848732
40.0;0;36;1;1;1;0;2;64.46;2310.24;1;1;1;0;0;4;2320.56;62.438918918918915;1.0323689313664381
41.0;0;18;0;1;0;2;2;117.08;2096.34;1;0;0;0;0;1;2107.44;110.33368421052633;1.0611446616483966
54.0;0;53;1;1;1;1;2;116.82;6194.18;1;0;1;0;0;4;6191.46;114.70703703703704;1.018420517324327
52.0;1;71;0;1;0;0;2;110.52;7434.915000000001;0;1;1;0;0;2;7846.92;103.26270833333335;1.0702798888756628
61.0;1;1;1;1;1;1;3;56.01;78.59;1;0;0;0;0;3;56.01;39.295;1.4253721847563303
57.0;0;58;0;1;1;0;1;56.8;3289.07;1;0;1;0;0;3;3294.3999999999996;55.74694915254238;1.018889838160939
39.0;0;6;1;1;1;0;1;105.27;628.92;0;1;1;0;1;4;631.62;89.84571428571428;1.1716752528143484
44.0;0;70;1;1;0;0;2;92.91;6506.68;1;1;1;0;0;3;6503.7;91.64338028169014;1.0138211806943018
44.0;1;44;1;1;1;0;2;90.44;3964.28;1;0;0;1;0;4;3979.3599999999997;88.09511111111111;1.0266176960255078
18.0;0;24;1;0;1;0;2;47.96;1156.13;1;0;0;0;0;2;1151.04;46.245200000000004;1.0370806051222612
52.0;1;19;1;1;1;0;2;103.33;1966.68;1;1;0;1;0;4;1963.27;98.334;1.0508064352106088
54.0;0;18;0;1;0;0;2;77.94;1399.43;0;1;0;0;0;1;1402.92;73.6542105263158;1.0581879765333027
64.0;0;30;1;0;0;0;2;64.69;1943.44;1;1;1;1;0;3;1940.6999999999998;62.69161290322581;1.031876466471823
44.0;0;42;1;1;0;0;3;106.54;4478.96;1;1;1;0;0;3;4474.68;104.16186046511628;1.0228311929555076
20.0;1;33;0;0;0;1;3;59.42;1975.21;0;1;1;1;0;2;1960.8600000000001;58.09441176470588;1.0228178269652342
18.0;1;12;0;1;1;1;3;85.39;1049.68;0;0;0;1;0;3;1024.68;80.74461538461539;1.0575318192210958
22.0;0;27;1;1;1;0;2;66.59;1787.31;1;0;0;0;0;3;1797.93;63.832499999999996;1.043198997375945
43.0;1;39;1;0;1;2;0;79.27;3078.56;0;0;1;0;0;3;3091.5299999999997;76.964;1.029962060183982
31.0;0;9;1;1;1;1;1;24.05;217.48;0;1;1;0;0;4;216.45000000000002;21.747999999999998;1.105848813684017
56.0;1;21;1;0;0;1;2;66.11;1367.52;1;1;1;1;0;3;1388.31;62.16;1.0635456885456886
44.0;1;29;0;1;0;0;2;75.65;2200.34;0;1;0;0;0;1;2193.8500000000004;73.34466666666667;1.0314315060399757
26.0;1;33;0;1;1;0;2;69.27;2287.04;0;0;0;1;0;3;2285.91;67.26588235294118;1.0297939694976912
32.0;0;62;1;1;0;2;2;104.74;6497.55;1;0;1;0;0;3;6493.88;103.13571428571429;1.015555093843064
32.0;1;15;0;1;0;2;3;51.11;763.61;0;0;1;0;0;2;766.65;47.725625;1.0709131624782284
43.0;1;2;1;1;1;0;2;108.41;219.37;0;1;1;1;1;5;216.82;73.12333333333333;1.482563705155673
59.0;0;52;1;1;1;0;3;60.35;3142.92;0;0;0;0;0;3;3138.2000000000003;59.300377358490564;1.0177001005434436
30.0;0;44;0;1;1;1;2;89.45;3937.8;1;0;0;0;0;2;3935.8;87.50666666666667;1.022207831784245
68.0;0;54;1;1;1;1;0;28.67;1534.73;1;0;1;0;0;4;1548.18;27.90418181818182;1.0274445667967655
49.0;0;18;0;0;1;2;2;40.02;722.08;0;0;1;1;0;3;720.36;38.004210526315795;1.0530412142698868
56.0;1;3;1;1;1;0;3;96.12;306.9;1;0;1;0;1;4;288.36;76.725;1.2527859237536658
66.0;1;7;0;0;1;0;2;21.23;1510.2;0;1;0;0;0;1;148.61;188.775;0.11246192557277182
69.0;1;43;1;1;0;0;2;116.85;5025.92;1;0;0;0;0;2;5024.55;114.22545454545455;1.0229768878135743
49.0;1;38;1;1;1;0;1;39.06;1499.88;1;1;0;0;0;3;1484.2800000000002;38.45846153846154;1.015641251300104
21.0;1;37;1;0;1;0;0;110.13;4067.35;0;1;0;1;0;3;4074.81;107.03552631578947;1.0289107158223414
47.0;0;58;1;1;0;2;2;71.59;4161.12;0;1;1;1;0;4;4152.22;70.52745762711864;1.0150656554004693
54.0;1;33;0;1;1;0;2;76.46;2517.88;1;0;0;1;0;3;2523.18;74.05529411764707;1.032471761958473
40.0;1;59;1;1;1;2;0;28.41;1687.06;1;1;1;0;0;4;1676.19;28.117666666666665;1.0103967849394806
56.0;1;11;1;1;0;0;3;56.52;629.7;0;0;1;0;0;3;621.72;52.475;1.0770843258694618
62.0;0;68;1;1;1;0;3;35.62;2418.04;0;0;0;0;0;3;2422.16;35.04405797101449;1.0164347984317879
32.0;0;68;0;0;0;0;1;72.59;4933.46;0;0;0;0;0;0;4936.12;71.49942028985507;1.0152529867476376
60.0;1;22;1;1;1;0;2;75.07;1661.32;1;0;0;0;0;3;1651.54;72.23130434782608;1.0393000746394434
46.0;0;66;0;0;1;2;2;90.97;5985.47;1;0;0;1;0;2;6004.0199999999995;89.33537313432836;1.018297644128197
53.0;0;44;1;1;1;0;2;107.83;4740.1;0;1;0;0;0;3;4744.5199999999995;105.33555555555556;1.0236809350013711
30.0;0;6;0;1;1;0;0;66.82;407.12;0;1;1;0;0;3;400.91999999999996;58.160000000000004;1.1488995873452543
44.0;0;42;1;1;0;0;1;43.34;1817.2;1;0;0;0;0;2;1820.2800000000002;42.26046511627907;1.025544794188862
24.0;0;25;0;0;0;0;1;53.36;1335.35;0;1;0;1;0;1;1334.0;51.35961538461538;1.038948590257236
68.0;0;57;1;0;0;1;0;104.71;5948.06;1;1;0;0;0;1;5968.469999999999;102.55275862068966;1.021035430039374
39.0;0;55;1;1;0;0;1;34.59;1893.91;0;0;0;0;0;2;1902.4500000000003;33.81982142857143;1.0227729934368581
45.0;1;16;0;1;1;1;0;82.73;1330.47;0;0;0;1;0;3;1323.68;78.26294117647059;1.057077574090359
19.0;1;14;1;1;0;1;0;21.31;2908.3;1;0;0;0;0;2;298.34;193.88666666666668;0.10990956916411648
59.0;0;39;0;1;0;0;1;44.57;1725.21;0;0;1;0;0;2;1738.23;43.130250000000004;1.0333814434184823
62.0;1;28;1;1;0;0;2;79.14;2226.54;1;0;0;1;0;3;2215.92;76.77724137931034;1.0307742057182894
23.0;1;51;1;0;0;1;0;65.64;3352.8;1;1;0;1;0;2;3347.64;64.47692307692309;1.0180386542591267
45.0;0;49;1;1;1;1;0;69.35;3387.26;0;1;1;0;0;4;3398.1499999999996;67.74520000000001;1.023688763189126
45.0;1;9;1;0;1;0;1;86.06;775.93;1;0;0;1;1;3;774.54;77.59299999999999;1.1091206681015042
61.0;0;58;0;1;0;0;1;43.46;2510.12;0;1;1;0;0;2;2520.68;42.54440677966102;1.0215208834637388
61.0;0;45;1;1;1;0;1;48.08;2162.08;1;1;1;0;0;4;2163.6;47.00173913043478;1.0229408717531268
37.0;0;22;0;1;1;0;1;88.45;1947.66;0;0;0;1;0;3;1945.9;84.68086956521739;1.0445098220428617
47.0;1;32;1;0;0;0;3;73.83;2354.48;1;1;0;1;0;2;2362.56;71.34787878787878;1.034788997995311
28.0;1;69;1;0;1;0;2;21.46;1488.16;0;1;1;0;0;3;1480.74;21.259428571428572;1.0094344694118913
45.0;1;69;1;1;1;0;2;87.03;6014.04;0;1;0;1;0;4;6005.07;85.91485714285714;1.0129796276712493
42.0;1;42;0;1;1;0;3;82.01;3447.06;0;1;0;0;0;2;3444.42;80.16418604651163;1.0230254187626557
56.0;0;53;1;1;0;0;3;27.86;1480.72;0;1;0;0;0;2;1476.58;27.42074074074074;1.0160192338862175
50.0;0;59;1;1;1;2;3;94.75;5575.72;1;0;0;0;0;3;5590.25;92.92866666666667;1.0195992625167691
18.0;1;39;0;1;0;0;3;72.21;2829.81;1;0;0;1;0;2;2816.1899999999996;70.74525;1.0207045702715023
44.0;0;15;1;0;1;2;1;40.47;606.14;0;1;0;0;0;2;607.05;37.88375;1.0682680568845482
69.0;0;71;1;1;1;0;2;75.94;5382.39;0;1;0;0;0;3;5391.74;74.75541666666668;1.015846120403761
30.0;1;29;1;0;1;1;1;79.55;2308.41;1;1;1;1;0;4;2306.95;76.94699999999999;1.0338284793429244
58.0;0;3;1;1;0;0;1;112.01;343.48;1;0;1;1;1;4;336.03000000000003;85.87;1.3044136485384885
20.0;1;10;1;1;1;1;3;94.21;947.22;0;1;1;0;1;4;942.0999999999999;86.11090909090909;1.0940541795992482
56.0;0;29;0;0;0;0;3;50.19;1444.66;0;0;0;1;0;1;1455.51;48.15533333333334;1.0422521562166875
23.0;1;35;1;1;0;0;0;31.81;1120.93;0;1;1;1;0;4;1113.35;31.136944444444445;1.0216159795883775
25.0;0;6;0;0;0;2;2;105.32;631.31;1;0;1;0;1;1;631.92;90.18714285714285;1.1677939522580032
44.0;0;12;1;1;0;0;2;104.61;1260.33;1;1;0;1;0;3;1255.32;96.94846153846153;1.0790269215205541
26.0;1;38;1;1;1;2;2;37.53;1418.12;1;1;0;0;0;3;1426.14;36.362051282051276;1.0321199898457114
54.0;1;19;1;0;1;0;2;26.21;508.45;1;1;0;0;0;2;497.99;25.4225;1.0309764971973645
50.0;1;67;1;0;0;0;2;91.19;6111.56;0;0;1;0;0;2;6109.73;89.87588235294118;1.014621471441007
68.0;1;8;0;1;0;0;2;92.26;749.97;0;1;1;1;1;3;738.08;83.33;1.107164286571463
59.0;0;8;1;1;0;1;2;37.71;286.33;1;1;1;0;0;3;301.68;31.814444444444444;1.1853106555373172
61.0;0;47;1;0;0;0;0;86.82;4066.53;1;0;1;0;0;2;4080.5399999999995;84.719375;1.024795095572884
41.0;1;4;0;0;0;2;2;47.89;189.16;1;1;1;1;0;2;191.56;37.832;1.265859589765278
32.0;0;51;1;1;1;0;0;46.06;2363.74;0;1;1;1;0;5;2349.06;45.45653846153846;1.0132755717633921
49.0;1;67;1;0;0;1;1;52.45;3533.78;1;0;1;1;0;3;3514.15;51.96735294117647;1.0092875051644414
49.0;1;45;1;1;0;0;0;72.04;3232.92;1;1;0;1;0;3;3241.8;70.28086956521739;1.025030003835542
41.0;0;8;0;1;0;0;0;100.45;804.13;0;0;1;1;1;3;803.6;89.34777777777778;1.1242585154141744
58.0;0;16;1;1;1;0;3;69.86;1119.31;0;1;1;1;0;5;1117.76;65.84176470588235;1.0610286694481421
69.0;1;67;0;1;0;0;2;49.8;3343.78;0;1;0;0;0;1;3336.6;49.17323529411765;1.01274605386718
66.0;1;9;0;0;0;0;1;108.4;984.45;1;1;0;0;1;0;975.6;98.44500000000001;1.1011224541622224
66.0;1;60;0;1;1;0;1;171.995;1519.46;0;0;0;0;0;2;10319.7;24.909180327868853;6.904883971937399
69.0;0;71;0;0;0;0;3;99.71;7080.06;1;0;0;0;0;0;7079.41;98.33416666666668;1.0139914068524842
29.0;0;15;0;1;1;0;2;98.44;1456.51;0;0;0;0;0;2;1476.6;91.031875;1.0813794618643195
56.0;0;71;1;0;0;0;0;45.35;3227.96;0;1;0;0;0;1;3219.85;44.83277777777778;1.0115366981003482
19.0;0;41;1;0;1;0;2;39.83;1629.64;0;0;0;0;0;2;1633.03;38.80095238095238;1.0265211948651236
20.0;1;22;0;1;1;0;2;107.47;2352.29;1;1;0;1;0;3;2364.34;102.27347826086957;1.0508100616845713
66.0;1;24;0;1;1;2;1;75.89;1824.69;0;1;1;1;0;4;1821.3600000000001;72.9876;1.0397656588242385
54.0;1;44;1;1;0;2;3;24.6;1078.7;1;0;0;0;0;2;1082.4;23.971111111111114;1.0262352832112729
66.0;1;1;1;0;1;0;0;109.08;121.69;1;1;0;1;1;3;109.08;60.845;1.7927520749445311
34.0;1;10;0;0;0;2;1;54.9;540.07;1;1;0;1;0;1;549.0;49.09727272727273;1.1181883829873904
